sub	hand	coherence	block	trial	stim	resp	RT	include
1	1	2	1	1	0	0	1864	0
1	1	2	1	2	0	0	1401	0
1	1	2	1	3	1	1	868	0
1	1	2	1	4	0	0	701	0
1	1	2	1	5	0	0	1102	0
1	1	2	1	6	0	0	1186	0
1	1	2	1	7	1	1	768	0
1	1	2	1	8	1	1	768	0
1	1	2	1	9	1	1	1035	0
1	1	2	1	10	0	0	2657	0
1	1	2	1	11	1	1	1152	0
1	1	2	1	12	1	1	951	0
1	1	2	1	13	1	1	919	0
1	1	2	1	14	0	0	801	0
1	1	2	1	15	0	0	617	0
1	1	2	1	16	0	0	901	0
1	1	2	1	17	1	1	784	0
1	1	2	1	18	0	0	968	0
1	1	2	1	19	1	1	818	0
1	1	2	1	20	0	0	818	0
1	1	2	1	21	1	1	702	0
1	1	2	1	22	1	1	801	0
1	1	2	1	23	1	1	667	0
1	1	2	1	24	0	0	617	0
1	1	2	1	25	0	0	784	0
1	1	2	1	26	0	0	651	0
1	1	2	1	27	1	1	734	0
1	1	2	1	28	0	0	650	0
1	1	2	1	29	0	0	717	0
1	1	2	1	30	0	0	634	0
1	1	2	1	31	1	1	701	0
1	1	2	1	32	1	1	884	0
1	1	2	1	33	1	1	1670	0
1	1	2	1	34	0	0	768	0
1	1	2	1	35	1	1	651	0
1	1	2	2	1	1	1	1018	0
1	1	2	2	2	1	1	884	0
1	1	2	2	3	1	1	617	0
1	1	2	2	4	0	0	1085	0
1	1	2	2	5	0	0	766	0
1	1	2	2	6	0	0	834	0
1	1	2	2	7	1	1	667	0
1	1	2	2	8	0	0	868	0
1	1	2	2	9	1	1	600	0
1	1	2	2	10	0	0	918	1
1	1	2	2	11	1	1	735	1
1	1	2	2	12	1	1	685	1
1	1	2	2	13	0	0	769	1
1	1	2	2	14	0	0	719	1
1	1	2	2	15	1	1	685	1
1	1	2	2	16	0	0	752	1
1	1	2	2	17	0	0	986	1
1	1	2	2	18	0	0	768	1
1	1	2	2	19	1	1	718	1
1	1	2	2	20	1	1	752	1
1	1	2	2	21	1	1	768	1
1	1	2	2	22	1	1	768	1
1	1	2	2	23	1	1	785	1
1	1	2	2	24	1	1	752	1
1	1	2	2	25	0	0	735	1
1	1	2	2	26	0	0	869	1
1	1	2	2	27	1	1	1889	0
1	1	2	2	28	1	1	651	1
1	1	2	2	29	0	0	585	1
1	1	2	2	30	0	0	718	1
1	1	2	2	31	0	0	685	1
1	1	2	2	32	0	0	886	1
1	1	2	2	33	1	1	701	1
1	1	2	2	34	0	0	768	1
1	1	2	2	35	0	0	651	1
1	1	2	2	36	1	1	735	1
1	1	2	2	37	1	1	752	1
1	1	2	2	38	1	1	685	1
1	1	2	2	39	0	0	602	1
1	1	2	2	40	1	1	585	1
1	1	2	2	41	1	1	618	1
1	1	2	2	42	0	0	685	1
1	1	2	2	43	1	1	635	1
1	1	2	2	44	1	1	568	1
1	1	2	2	45	1	1	568	1
1	1	2	2	46	1	1	618	1
1	1	2	2	47	0	0	585	1
1	1	2	2	48	1	1	534	1
1	1	2	2	49	0	0	668	1
1	1	2	2	50	0	0	752	1
1	1	2	2	51	0	0	668	1
1	1	2	2	52	0	0	634	1
1	1	2	2	53	0	0	550	1
1	1	2	2	54	0	0	684	1
1	1	2	2	55	1	1	718	1
1	1	2	2	56	1	1	734	1
1	1	2	2	57	0	0	567	1
1	1	2	2	58	1	1	584	1
1	1	2	2	59	0	0	551	1
1	1	2	2	60	1	1	416	1
1	1	2	2	61	0	0	650	1
1	1	2	2	62	0	0	751	1
1	1	2	2	63	1	1	550	1
1	1	2	2	64	0	0	617	1
1	1	2	2	65	1	1	416	1
1	1	2	2	66	1	1	584	1
1	1	2	2	67	1	1	500	1
1	1	2	2	68	0	0	568	1
1	1	2	2	69	0	0	567	1
1	1	2	2	70	0	0	534	1
1	1	2	2	71	1	1	634	1
1	1	2	2	72	0	0	451	1
1	1	2	2	73	1	1	467	1
1	1	2	2	74	1	1	483	1
1	1	2	2	75	0	0	483	1
1	1	2	2	76	1	1	551	1
1	1	2	2	77	0	0	500	1
1	1	2	2	78	1	1	500	1
1	1	2	2	79	1	1	551	1
1	1	2	2	80	1	1	500	1
1	1	2	2	81	0	0	584	1
1	1	2	2	82	0	0	668	1
1	1	2	2	83	0	0	701	1
1	1	2	2	84	1	1	617	1
1	1	2	2	85	1	1	618	1
1	1	2	2	86	0	0	617	1
1	1	2	2	87	0	0	835	1
1	1	2	2	88	1	1	534	1
1	1	2	2	89	0	0	517	1
